name,price,image_url,category,availability,scraped_at,placeholder_url,potential_real_urls,real_image_path,has_real_image,local_image
Lovense Ambi,"KSh 16,000.00",product_images/Lovense_Ambi.html,Lovense,In Stock,2025-09-08T01:50:31.415514,https://dummyimage.com/300x300/ff6b6b/ffffff&text=Lovense+Ambi,"['https://romantix.co.ke/wp-content/uploads/products/lovense-ambi.jpg', 'https://romantix.co.ke/wp-content/uploads/lovense/lovense-ambi.jpg', 'https://romantix.co.ke/images/products/lovense-ambi.jpg', 'https://romantix.co.ke/uploads/lovense-ambi.jpg']",,False,True
Lovense Exomoon,"KSh 25,000.00",product_images/Lovense_Exomoon.html,Lovense,In Stock,2025-09-08T01:50:31.416551,https://dummyimage.com/300x300/ff6b6b/ffffff&text=Lovense+Exomoon,"['https://romantix.co.ke/wp-content/uploads/products/lovense-exomoon.jpg', 'https://romantix.co.ke/wp-content/uploads/lovense/lovense-exomoon.jpg', 'https://romantix.co.ke/images/products/lovense-exomoon.jpg', 'https://romantix.co.ke/uploads/lovense-exomoon.jpg']",,False,True
Lovense Gravity,"KSh 23,000.00",product_images/Lovense_Gravity.html,Lovense,In Stock,2025-09-08T01:50:31.417554,https://dummyimage.com/300x300/ff6b6b/ffffff&text=Lovense+Gravity,"['https://romantix.co.ke/wp-content/uploads/products/lovense-gravity.jpg', 'https://romantix.co.ke/wp-content/uploads/lovense/lovense-gravity.jpg', 'https://romantix.co.ke/images/products/lovense-gravity.jpg', 'https://romantix.co.ke/uploads/lovense-gravity.jpg']",,False,True
Lovense Flexer,"KSh 17,000.00",product_images/Lovense_Flexer.html,Lovense,In Stock,2025-09-08T01:50:31.418467,https://dummyimage.com/300x300/ff6b6b/ffffff&text=Lovense+Flexer,"['https://romantix.co.ke/wp-content/uploads/products/lovense-flexer.jpg', 'https://romantix.co.ke/wp-content/uploads/lovense/lovense-flexer.jpg', 'https://romantix.co.ke/images/products/lovense-flexer.jpg', 'https://romantix.co.ke/uploads/lovense-flexer.jpg']",,False,True
Lovense Calor,"KSh 19,500.00",product_images/Lovense_Calor.html,Lovense,In Stock,2025-09-08T01:50:31.419310,https://dummyimage.com/300x300/ff6b6b/ffffff&text=Lovense+Calor,"['https://romantix.co.ke/wp-content/uploads/products/lovense-calor.jpg', 'https://romantix.co.ke/wp-content/uploads/lovense/lovense-calor.jpg', 'https://romantix.co.ke/images/products/lovense-calor.jpg', 'https://romantix.co.ke/uploads/lovense-calor.jpg']",,False,True
Lovense Tenera,"KSh 22,500.00",product_images/Lovense_Tenera.html,Lovense,Out of Stock,2025-09-08T01:50:31.420252,https://dummyimage.com/300x300/ff6b6b/ffffff&text=Lovense+Tenera,"['https://romantix.co.ke/wp-content/uploads/products/lovense-tenera.jpg', 'https://romantix.co.ke/wp-content/uploads/lovense/lovense-tenera.jpg', 'https://romantix.co.ke/images/products/lovense-tenera.jpg', 'https://romantix.co.ke/uploads/lovense-tenera.jpg']",,False,True
Lovense Solace,"KSh 21,500.00",product_images/Lovense_Solace.html,Lovense,In Stock,2025-09-08T01:50:31.421060,https://dummyimage.com/300x300/ff6b6b/ffffff&text=Lovense+Solace,"['https://romantix.co.ke/wp-content/uploads/products/lovense-solace.jpg', 'https://romantix.co.ke/wp-content/uploads/lovense/lovense-solace.jpg', 'https://romantix.co.ke/images/products/lovense-solace.jpg', 'https://romantix.co.ke/uploads/lovense-solace.jpg']",,False,True
Lovense Ridge,"KSh 20,500.00",product_images/Lovense_Ridge.html,Lovense,In Stock,2025-09-08T01:50:31.422453,https://dummyimage.com/300x300/ff6b6b/ffffff&text=Lovense+Ridge,"['https://romantix.co.ke/wp-content/uploads/products/lovense-ridge.jpg', 'https://romantix.co.ke/wp-content/uploads/lovense/lovense-ridge.jpg', 'https://romantix.co.ke/images/products/lovense-ridge.jpg', 'https://romantix.co.ke/uploads/lovense-ridge.jpg']",,False,True
Lovense Gemini,"KSh 24,500.00",product_images/Lovense_Gemini.html,Lovense,In Stock,2025-09-08T01:50:31.423235,https://dummyimage.com/300x300/ff6b6b/ffffff&text=Lovense+Gemini,"['https://romantix.co.ke/wp-content/uploads/products/lovense-gemini.jpg', 'https://romantix.co.ke/wp-content/uploads/lovense/lovense-gemini.jpg', 'https://romantix.co.ke/images/products/lovense-gemini.jpg', 'https://romantix.co.ke/uploads/lovense-gemini.jpg']",,False,True
Lovense Dolce,"KSh 23,500.00",product_images/Lovense_Dolce.html,Lovense,In Stock,2025-09-08T01:50:31.424056,https://dummyimage.com/300x300/ff6b6b/ffffff&text=Lovense+Dolce,"['https://romantix.co.ke/wp-content/uploads/products/lovense-dolce.jpg', 'https://romantix.co.ke/wp-content/uploads/lovense/lovense-dolce.jpg', 'https://romantix.co.ke/images/products/lovense-dolce.jpg', 'https://romantix.co.ke/uploads/lovense-dolce.jpg']",,False,True
Scarlett Rabbit Vibrator,"KSh 6,500.00",product_images/Scarlett_Rabbit_Vibrator.html,Ladies' Toys,In Stock,2025-09-08T01:50:31.425101,https://dummyimage.com/300x300/ff9ff3/ffffff&text=Scarlett+Rabbit+Vibrator,"['https://romantix.co.ke/wp-content/uploads/products/scarlett-rabbit-vibrator.jpg', 'https://romantix.co.ke/wp-content/uploads/ladies-toys/scarlett-rabbit-vibrator.jpg', 'https://romantix.co.ke/images/products/scarlett-rabbit-vibrator.jpg', 'https://romantix.co.ke/uploads/scarlett-rabbit-vibrator.jpg']",,False,True
Voluptuous Flower Wand,"KSh 6,100.00",product_images/Voluptuous_Flower_Wand.html,Ladies' Toys,In Stock,2025-09-08T01:50:31.426518,https://dummyimage.com/300x300/ff9ff3/ffffff&text=Voluptuous+Flower+Wand,"['https://romantix.co.ke/wp-content/uploads/products/voluptuous-flower-wand.jpg', 'https://romantix.co.ke/wp-content/uploads/ladies-toys/voluptuous-flower-wand.jpg', 'https://romantix.co.ke/images/products/voluptuous-flower-wand.jpg', 'https://romantix.co.ke/uploads/voluptuous-flower-wand.jpg']",,False,True
Sexy Girl Sylvia,"KSh 6,500.00",product_images/Sexy_Girl_Sylvia.html,Ladies' Toys,In Stock,2025-09-08T01:50:31.427391,https://dummyimage.com/300x300/ff9ff3/ffffff&text=Sexy+Girl+Sylvia,"['https://romantix.co.ke/wp-content/uploads/products/sexy-girl-sylvia.jpg', 'https://romantix.co.ke/wp-content/uploads/ladies-toys/sexy-girl-sylvia.jpg', 'https://romantix.co.ke/images/products/sexy-girl-sylvia.jpg', 'https://romantix.co.ke/uploads/sexy-girl-sylvia.jpg']",,False,True
Satisfyer Pro 2,"KSh 8,500.00",product_images/Satisfyer_Pro_2.html,Ladies' Toys,Out of Stock,2025-09-08T01:50:31.428119,https://dummyimage.com/300x300/ff9ff3/ffffff&text=Satisfyer+Pro+2,"['https://romantix.co.ke/wp-content/uploads/products/satisfyer-pro-2.jpg', 'https://romantix.co.ke/wp-content/uploads/ladies-toys/satisfyer-pro-2.jpg', 'https://romantix.co.ke/images/products/satisfyer-pro-2.jpg', 'https://romantix.co.ke/uploads/satisfyer-pro-2.jpg']",,False,True
Magic Wand Original,"KSh 12,000.00",product_images/Magic_Wand_Original.html,Ladies' Toys,In Stock,2025-09-08T01:50:31.429739,https://dummyimage.com/300x300/ff9ff3/ffffff&text=Magic+Wand+Original,"['https://romantix.co.ke/wp-content/uploads/products/magic-wand-original.jpg', 'https://romantix.co.ke/wp-content/uploads/ladies-toys/magic-wand-original.jpg', 'https://romantix.co.ke/images/products/magic-wand-original.jpg', 'https://romantix.co.ke/uploads/magic-wand-original.jpg']",,False,True
Womanizer Premium,"KSh 15,000.00",product_images/Womanizer_Premium.html,Ladies' Toys,In Stock,2025-09-08T01:50:31.430937,https://dummyimage.com/300x300/ff9ff3/ffffff&text=Womanizer+Premium,"['https://romantix.co.ke/wp-content/uploads/products/womanizer-premium.jpg', 'https://romantix.co.ke/wp-content/uploads/ladies-toys/womanizer-premium.jpg', 'https://romantix.co.ke/images/products/womanizer-premium.jpg', 'https://romantix.co.ke/uploads/womanizer-premium.jpg']",,False,True
Lelo Sona 2,"KSh 18,000.00",product_images/Lelo_Sona_2.html,Ladies' Toys,In Stock,2025-09-08T01:50:31.432480,https://dummyimage.com/300x300/ff9ff3/ffffff&text=Lelo+Sona+2,"['https://romantix.co.ke/wp-content/uploads/products/lelo-sona-2.jpg', 'https://romantix.co.ke/wp-content/uploads/ladies-toys/lelo-sona-2.jpg', 'https://romantix.co.ke/images/products/lelo-sona-2.jpg', 'https://romantix.co.ke/uploads/lelo-sona-2.jpg']",,False,True
We-Vibe Melt,"KSh 16,500.00",product_images/We-Vibe_Melt.html,Ladies' Toys,Out of Stock,2025-09-08T01:50:31.433359,https://dummyimage.com/300x300/ff9ff3/ffffff&text=WeVibe+Melt,"['https://romantix.co.ke/wp-content/uploads/products/we-vibe-melt.jpg', 'https://romantix.co.ke/wp-content/uploads/ladies-toys/we-vibe-melt.jpg', 'https://romantix.co.ke/images/products/we-vibe-melt.jpg', 'https://romantix.co.ke/uploads/we-vibe-melt.jpg']",,False,True
Fun Factory Laya II,"KSh 14,000.00",product_images/Fun_Factory_Laya_II.html,Ladies' Toys,In Stock,2025-09-08T01:50:31.434145,https://dummyimage.com/300x300/ff9ff3/ffffff&text=Fun+Factory+Laya+II,"['https://romantix.co.ke/wp-content/uploads/products/fun-factory-laya-ii.jpg', 'https://romantix.co.ke/wp-content/uploads/ladies-toys/fun-factory-laya-ii.jpg', 'https://romantix.co.ke/images/products/fun-factory-laya-ii.jpg', 'https://romantix.co.ke/uploads/fun-factory-laya-ii.jpg']",,False,True
Je Joue Mimi Soft,"KSh 11,000.00",product_images/Je_Joue_Mimi_Soft.html,Ladies' Toys,In Stock,2025-09-08T01:50:31.435215,https://dummyimage.com/300x300/ff9ff3/ffffff&text=Je+Joue+Mimi+Soft,"['https://romantix.co.ke/wp-content/uploads/products/je-joue-mimi-soft.jpg', 'https://romantix.co.ke/wp-content/uploads/ladies-toys/je-joue-mimi-soft.jpg', 'https://romantix.co.ke/images/products/je-joue-mimi-soft.jpg', 'https://romantix.co.ke/uploads/je-joue-mimi-soft.jpg']",,False,True
Dame Aer,"KSh 13,500.00",product_images/Dame_Aer.html,Ladies' Toys,In Stock,2025-09-08T01:50:31.436193,https://dummyimage.com/300x300/ff9ff3/ffffff&text=Dame+Aer,"['https://romantix.co.ke/wp-content/uploads/products/dame-aer.jpg', 'https://romantix.co.ke/wp-content/uploads/ladies-toys/dame-aer.jpg', 'https://romantix.co.ke/images/products/dame-aer.jpg', 'https://romantix.co.ke/uploads/dame-aer.jpg']",,False,True
Lelo Gigi 2,"KSh 17,500.00",product_images/Lelo_Gigi_2.html,Ladies' Toys,In Stock,2025-09-08T01:50:31.436982,https://dummyimage.com/300x300/ff9ff3/ffffff&text=Lelo+Gigi+2,"['https://romantix.co.ke/wp-content/uploads/products/lelo-gigi-2.jpg', 'https://romantix.co.ke/wp-content/uploads/ladies-toys/lelo-gigi-2.jpg', 'https://romantix.co.ke/images/products/lelo-gigi-2.jpg', 'https://romantix.co.ke/uploads/lelo-gigi-2.jpg']",,False,True
We-Vibe Tango X,"KSh 12,500.00",product_images/We-Vibe_Tango_X.html,Ladies' Toys,In Stock,2025-09-08T01:50:31.437885,https://dummyimage.com/300x300/ff9ff3/ffffff&text=WeVibe+Tango+X,"['https://romantix.co.ke/wp-content/uploads/products/we-vibe-tango-x.jpg', 'https://romantix.co.ke/wp-content/uploads/ladies-toys/we-vibe-tango-x.jpg', 'https://romantix.co.ke/images/products/we-vibe-tango-x.jpg', 'https://romantix.co.ke/uploads/we-vibe-tango-x.jpg']",,False,True
Fun Factory Volta,"KSh 15,500.00",product_images/Fun_Factory_Volta.html,Ladies' Toys,In Stock,2025-09-08T01:50:31.438744,https://dummyimage.com/300x300/ff9ff3/ffffff&text=Fun+Factory+Volta,"['https://romantix.co.ke/wp-content/uploads/products/fun-factory-volta.jpg', 'https://romantix.co.ke/wp-content/uploads/ladies-toys/fun-factory-volta.jpg', 'https://romantix.co.ke/images/products/fun-factory-volta.jpg', 'https://romantix.co.ke/uploads/fun-factory-volta.jpg']",,False,True
Lelo Sila,"KSh 19,000.00",product_images/Lelo_Sila.html,Ladies' Toys,In Stock,2025-09-08T01:50:31.440266,https://dummyimage.com/300x300/ff9ff3/ffffff&text=Lelo+Sila,"['https://romantix.co.ke/wp-content/uploads/products/lelo-sila.jpg', 'https://romantix.co.ke/wp-content/uploads/ladies-toys/lelo-sila.jpg', 'https://romantix.co.ke/images/products/lelo-sila.jpg', 'https://romantix.co.ke/uploads/lelo-sila.jpg']",,False,True
Womanizer Liberty,"KSh 9,500.00",product_images/Womanizer_Liberty.html,Ladies' Toys,In Stock,2025-09-08T01:50:31.440965,https://dummyimage.com/300x300/ff9ff3/ffffff&text=Womanizer+Liberty,"['https://romantix.co.ke/wp-content/uploads/products/womanizer-liberty.jpg', 'https://romantix.co.ke/wp-content/uploads/ladies-toys/womanizer-liberty.jpg', 'https://romantix.co.ke/images/products/womanizer-liberty.jpg', 'https://romantix.co.ke/uploads/womanizer-liberty.jpg']",,False,True
Dame Kip,"KSh 10,500.00",product_images/Dame_Kip.html,Ladies' Toys,In Stock,2025-09-08T01:50:31.441590,https://dummyimage.com/300x300/ff9ff3/ffffff&text=Dame+Kip,"['https://romantix.co.ke/wp-content/uploads/products/dame-kip.jpg', 'https://romantix.co.ke/wp-content/uploads/ladies-toys/dame-kip.jpg', 'https://romantix.co.ke/images/products/dame-kip.jpg', 'https://romantix.co.ke/uploads/dame-kip.jpg']",,False,True
Je Joue SaSi,"KSh 13,000.00",product_images/Je_Joue_SaSi.html,Ladies' Toys,In Stock,2025-09-08T01:50:31.442913,https://dummyimage.com/300x300/ff9ff3/ffffff&text=Je+Joue+SaSi,"['https://romantix.co.ke/wp-content/uploads/products/je-joue-sasi.jpg', 'https://romantix.co.ke/wp-content/uploads/ladies-toys/je-joue-sasi.jpg', 'https://romantix.co.ke/images/products/je-joue-sasi.jpg', 'https://romantix.co.ke/uploads/je-joue-sasi.jpg']",,False,True
Fun Factory Tiger,"KSh 16,000.00",product_images/Fun_Factory_Tiger.html,Ladies' Toys,In Stock,2025-09-08T01:50:31.444050,https://dummyimage.com/300x300/ff9ff3/ffffff&text=Fun+Factory+Tiger,"['https://romantix.co.ke/wp-content/uploads/products/fun-factory-tiger.jpg', 'https://romantix.co.ke/wp-content/uploads/ladies-toys/fun-factory-tiger.jpg', 'https://romantix.co.ke/images/products/fun-factory-tiger.jpg', 'https://romantix.co.ke/uploads/fun-factory-tiger.jpg']",,False,True
Lelo Nea 2,"KSh 14,500.00",product_images/Lelo_Nea_2.html,Ladies' Toys,Out of Stock,2025-09-08T01:50:31.445176,https://dummyimage.com/300x300/ff9ff3/ffffff&text=Lelo+Nea+2,"['https://romantix.co.ke/wp-content/uploads/products/lelo-nea-2.jpg', 'https://romantix.co.ke/wp-content/uploads/ladies-toys/lelo-nea-2.jpg', 'https://romantix.co.ke/images/products/lelo-nea-2.jpg', 'https://romantix.co.ke/uploads/lelo-nea-2.jpg']",,False,True
We-Vibe Rave,"KSh 18,500.00",product_images/We-Vibe_Rave.html,Ladies' Toys,In Stock,2025-09-08T01:50:31.445980,https://dummyimage.com/300x300/ff9ff3/ffffff&text=WeVibe+Rave,"['https://romantix.co.ke/wp-content/uploads/products/we-vibe-rave.jpg', 'https://romantix.co.ke/wp-content/uploads/ladies-toys/we-vibe-rave.jpg', 'https://romantix.co.ke/images/products/we-vibe-rave.jpg', 'https://romantix.co.ke/uploads/we-vibe-rave.jpg']",,False,True
Satisfyer Pro Traveler,"KSh 7,500.00",product_images/Satisfyer_Pro_Traveler.html,Ladies' Toys,In Stock,2025-09-08T01:50:31.446841,https://dummyimage.com/300x300/ff9ff3/ffffff&text=Satisfyer+Pro+Traveler,"['https://romantix.co.ke/wp-content/uploads/products/satisfyer-pro-traveler.jpg', 'https://romantix.co.ke/wp-content/uploads/ladies-toys/satisfyer-pro-traveler.jpg', 'https://romantix.co.ke/images/products/satisfyer-pro-traveler.jpg', 'https://romantix.co.ke/uploads/satisfyer-pro-traveler.jpg']",,False,True
Dame Fin,"KSh 8,000.00",product_images/Dame_Fin.html,Ladies' Toys,Out of Stock,2025-09-08T01:50:31.447952,https://dummyimage.com/300x300/ff9ff3/ffffff&text=Dame+Fin,"['https://romantix.co.ke/wp-content/uploads/products/dame-fin.jpg', 'https://romantix.co.ke/wp-content/uploads/ladies-toys/dame-fin.jpg', 'https://romantix.co.ke/images/products/dame-fin.jpg', 'https://romantix.co.ke/uploads/dame-fin.jpg']",,False,True
Fun Factory Miss Bi,"KSh 12,000.00",product_images/Fun_Factory_Miss_Bi.html,Ladies' Toys,Out of Stock,2025-09-08T01:50:31.448788,https://dummyimage.com/300x300/ff9ff3/ffffff&text=Fun+Factory+Miss+Bi,"['https://romantix.co.ke/wp-content/uploads/products/fun-factory-miss-bi.jpg', 'https://romantix.co.ke/wp-content/uploads/ladies-toys/fun-factory-miss-bi.jpg', 'https://romantix.co.ke/images/products/fun-factory-miss-bi.jpg', 'https://romantix.co.ke/uploads/fun-factory-miss-bi.jpg']",,False,True
Lelo Lily 2,"KSh 15,000.00",product_images/Lelo_Lily_2.html,Ladies' Toys,In Stock,2025-09-08T01:50:31.449535,https://dummyimage.com/300x300/ff9ff3/ffffff&text=Lelo+Lily+2,"['https://romantix.co.ke/wp-content/uploads/products/lelo-lily-2.jpg', 'https://romantix.co.ke/wp-content/uploads/ladies-toys/lelo-lily-2.jpg', 'https://romantix.co.ke/images/products/lelo-lily-2.jpg', 'https://romantix.co.ke/uploads/lelo-lily-2.jpg']",,False,True
Fleshlight Original,"KSh 8,000.00",product_images/Fleshlight_Original.html,Men's Toys,Out of Stock,2025-09-08T01:50:31.450374,https://dummyimage.com/300x300/54a0ff/ffffff&text=Fleshlight+Original,"['https://romantix.co.ke/wp-content/uploads/products/fleshlight-original.jpg', 'https://romantix.co.ke/wp-content/uploads/mens-toys/fleshlight-original.jpg', 'https://romantix.co.ke/images/products/fleshlight-original.jpg', 'https://romantix.co.ke/uploads/fleshlight-original.jpg']",,False,True
Tenga Flip Hole,"KSh 6,500.00",product_images/Tenga_Flip_Hole.html,Men's Toys,In Stock,2025-09-08T01:50:31.451352,https://dummyimage.com/300x300/54a0ff/ffffff&text=Tenga+Flip+Hole,"['https://romantix.co.ke/wp-content/uploads/products/tenga-flip-hole.jpg', 'https://romantix.co.ke/wp-content/uploads/mens-toys/tenga-flip-hole.jpg', 'https://romantix.co.ke/images/products/tenga-flip-hole.jpg', 'https://romantix.co.ke/uploads/tenga-flip-hole.jpg']",,False,True
Fleshlight Quickshot,"KSh 4,500.00",product_images/Fleshlight_Quickshot.html,Men's Toys,In Stock,2025-09-08T01:50:31.453218,https://dummyimage.com/300x300/54a0ff/ffffff&text=Fleshlight+Quickshot,"['https://romantix.co.ke/wp-content/uploads/products/fleshlight-quickshot.jpg', 'https://romantix.co.ke/wp-content/uploads/mens-toys/fleshlight-quickshot.jpg', 'https://romantix.co.ke/images/products/fleshlight-quickshot.jpg', 'https://romantix.co.ke/uploads/fleshlight-quickshot.jpg']",,False,True
Tenga Egg,"KSh 2,500.00",product_images/Tenga_Egg.html,Men's Toys,In Stock,2025-09-08T01:50:31.453961,https://dummyimage.com/300x300/54a0ff/ffffff&text=Tenga+Egg,"['https://romantix.co.ke/wp-content/uploads/products/tenga-egg.jpg', 'https://romantix.co.ke/wp-content/uploads/mens-toys/tenga-egg.jpg', 'https://romantix.co.ke/images/products/tenga-egg.jpg', 'https://romantix.co.ke/uploads/tenga-egg.jpg']",,False,True
Fleshlight Stamina Training Unit,"KSh 9,000.00",product_images/Fleshlight_Stamina_Training_Unit.html,Men's Toys,In Stock,2025-09-08T01:50:31.454677,https://dummyimage.com/300x300/54a0ff/ffffff&text=Fleshlight+Stamina+Traini,"['https://romantix.co.ke/wp-content/uploads/products/fleshlight-stamina-training-unit.jpg', 'https://romantix.co.ke/wp-content/uploads/mens-toys/fleshlight-stamina-training-unit.jpg', 'https://romantix.co.ke/images/products/fleshlight-stamina-training-unit.jpg', 'https://romantix.co.ke/uploads/fleshlight-stamina-training-unit.jpg']",,False,True
Tenga Spinner,"KSh 7,000.00",product_images/Tenga_Spinner.html,Men's Toys,In Stock,2025-09-08T01:50:31.455508,https://dummyimage.com/300x300/54a0ff/ffffff&text=Tenga+Spinner,"['https://romantix.co.ke/wp-content/uploads/products/tenga-spinner.jpg', 'https://romantix.co.ke/wp-content/uploads/mens-toys/tenga-spinner.jpg', 'https://romantix.co.ke/images/products/tenga-spinner.jpg', 'https://romantix.co.ke/uploads/tenga-spinner.jpg']",,False,True
Fleshlight Go Torque,"KSh 7,500.00",product_images/Fleshlight_Go_Torque.html,Men's Toys,In Stock,2025-09-08T01:50:31.456688,https://dummyimage.com/300x300/54a0ff/ffffff&text=Fleshlight+Go+Torque,"['https://romantix.co.ke/wp-content/uploads/products/fleshlight-go-torque.jpg', 'https://romantix.co.ke/wp-content/uploads/mens-toys/fleshlight-go-torque.jpg', 'https://romantix.co.ke/images/products/fleshlight-go-torque.jpg', 'https://romantix.co.ke/uploads/fleshlight-go-torque.jpg']",,False,True
Tenga 3D Spiral,"KSh 5,500.00",product_images/Tenga_3D_Spiral.html,Men's Toys,Out of Stock,2025-09-08T01:50:31.457478,https://dummyimage.com/300x300/54a0ff/ffffff&text=Tenga+3D+Spiral,"['https://romantix.co.ke/wp-content/uploads/products/tenga-3d-spiral.jpg', 'https://romantix.co.ke/wp-content/uploads/mens-toys/tenga-3d-spiral.jpg', 'https://romantix.co.ke/images/products/tenga-3d-spiral.jpg', 'https://romantix.co.ke/uploads/tenga-3d-spiral.jpg']",,False,True
Fleshlight Flight Pilot,"KSh 6,000.00",product_images/Fleshlight_Flight_Pilot.html,Men's Toys,In Stock,2025-09-08T01:50:31.458172,https://dummyimage.com/300x300/54a0ff/ffffff&text=Fleshlight+Flight+Pilot,"['https://romantix.co.ke/wp-content/uploads/products/fleshlight-flight-pilot.jpg', 'https://romantix.co.ke/wp-content/uploads/mens-toys/fleshlight-flight-pilot.jpg', 'https://romantix.co.ke/images/products/fleshlight-flight-pilot.jpg', 'https://romantix.co.ke/uploads/fleshlight-flight-pilot.jpg']",,False,True
Tenga Flex,"KSh 8,500.00",product_images/Tenga_Flex.html,Men's Toys,In Stock,2025-09-08T01:50:31.459445,https://dummyimage.com/300x300/54a0ff/ffffff&text=Tenga+Flex,"['https://romantix.co.ke/wp-content/uploads/products/tenga-flex.jpg', 'https://romantix.co.ke/wp-content/uploads/mens-toys/tenga-flex.jpg', 'https://romantix.co.ke/images/products/tenga-flex.jpg', 'https://romantix.co.ke/uploads/tenga-flex.jpg']",,False,True
